Category,Domain,Raw Counts,Fractional,Standardized,Z-score
Theory of Mind,,284,0.14150473343298456,1.1655818666962188,7.985774742883481
Episodic Recall,,135,0.13595166163141995,1.080597913819295,5.265810452611511
Self-Reflection,,33,0.264,3.0402437355818948,4.395101735030364
Emotion Induction,,222,0.10068027210884353,0.5408062071380139,4.261562045951007
Acupuncture,,82,0.1342062193126023,1.0538857456586035,4.042923377478372
Imagined Objects/Scenes,,120,0.11461318051575932,0.7540347901284602,3.954282409827685
Reward,,458,0.08250765627814809,0.2626933386944394,3.458045633507657
Reasoning/Problem Solving,,152,0.09737347853939782,0.49019919197204587,3.2789027985316515
Competition/Cooperation,,28,0.14507772020725387,1.2202626903025013,2.5746694914953094
Cued Explicit Recognition/Recall,,248,0.07697082557417753,0.17795793882059652,1.815906307317452
Magnitude Comparison (Physical Size),,6,0.20689655172413793,2.166335215973272,1.6064684877691366
Tower of London,,15,0.11627906976744186,0.7795294818454435,1.4293068464115073
Stroop-Emotional,,10,0.13513513513513514,1.068101830252813,1.4232463269310178
Meditation,,45,0.08637236084452975,0.32183859783912977,1.2829579504847834
Paired Associate Recall,,94,0.07787903893951947,0.19185719397171216,1.1947777056553255
Thirst Induction,,17,0.096045197740113,0.4698712443265754,1.0621537415532651
Classical Conditioning,,45,0.08108108108108109,0.24086109815168769,1.0069592516038222
Face Monitor/Discrimination,,308,0.07075580059728923,0.0828434853003011,1.0028850313722788
Deception,,44,0.08103130755064457,0.24009936635417278,0.9930165270547854
Semantic Monitor/Discrimination,,348,0.07027463651050081,0.07547977246911215,0.9761761163472913
Affective Pictures,,92,0.07467532467532467,0.14282769970463866,0.9079367685573938
Stroop-Color,,67,0.07553551296505073,0.15599198132958797,0.8390462785090121
Gambling,,14,0.0880503144654088,0.3475179221018326,0.7615403075443933
Magnitude Comparison (Symbolic/Numerical),,7,0.09722222222222222,0.4878843723207736,0.701157057149208
Trauma Recall,,6,0.1,0.5303953543870815,0.6906823535824307
Delay Discounting,,44,0.0738255033557047,0.12982207370858365,0.575598911565845
Olfactory Monitor/Discrimination,,34,0.0735930735930736,0.1262649794190643,0.49327018486721774
Lexical Decision,,15,0.078125,0.19562137061490734,0.4854934165023209
n-back,,185,0.0684424713281539,0.04744040163377741,0.45614871018902325
Free List Word Recall,,11,0.07857142857142857,0.2024534927327068,0.4284423203791683
Fluency Induction,,1,0.125,0.9129941929838518,0.4087083345112394
Rest,,21,0.07394366197183098,0.13163036768058833,0.40271212186709116
Orthographic Discrimination,,65,0.06922257720979766,0.05937910580575392,0.33560966492739425
Estimation,,9,0.07258064516129033,0.11077082173255916,0.2249439761979111
Passive Viewing,,220,0.0664451827242525,0.01687398962596778,0.18082527383990404
Sleep,,4,0.07017543859649122,0.07396165220146057,0.1026591890365537
Sexual Arousal/Gratification,,12,0.06741573033707865,0.03172720520477394,0.07856439996365708
Vestibular Stimulation,,4,0.06896551724137931,0.055445071991090604,0.07795224048261694
Word Imageability,,5,0.06756756756756757,0.03405091512640641,0.05433737333205872
Video Games,,7,0.06542056074766354,0.0011932224962213716,0.0023070118593168064
Hand-Eye Coordination,,6,0.06451612903225806,-0.012648158459947515,-0.02287220171598055
Taste,,42,0.06491499227202473,-0.006543973968200681,-0.031168279150064353
Divided Auditory Attention,,14,0.059574468085106386,-0.08827510802471743,-0.2584004559084254
Word Generation (Covert),,96,0.06290956749672345,-0.03723490156513893,-0.27433939491060666
Wisconsin Card Sorting Test,,34,0.0595446584938704,-0.08873131262415468,-0.40491582164671625
Magnitude Comparison (Distance),,8,0.05228758169934641,-0.19979327875185285,-0.4855045545431255
Passive Listening,,108,0.061259217243335225,-0.06249178517410781,-0.4978983737511658
Stroop-Counting,,1,0.03125,-0.521751451754037,-0.6381008989669802
Anti-Saccades,,18,0.05325443786982249,-0.18499655683528207,-0.6655762057683905
Visual Motion,,4,0.041666666666666664,-0.36233526900538277,-0.7299185305071347
Oddball Discrimination,,33,0.05509181969949917,-0.1568773506715578,-0.7459020464451552
Visuospatial Attention,,215,0.06047819971870605,-0.07444444108798169,-0.8447018796214251
Syntactic Discrimination,,8,0.04371584699453552,-0.33097470846466387,-0.9121285942049776
Writing,,6,0.04081632653061224,-0.37534883494404847,-0.9393031282759376
Task Switching,,58,0.055396370582617004,-0.1522165181045776,-0.9557050999083384
Encoding,,108,0.05669291338582677,-0.1323742872766153,-1.1154409736438822
Hunger/Satiety,,6,0.03680981595092025,-0.4366642867286817,-1.1724967632045586
Multi-Tasking,,5,0.034482758620689655,-0.4722774640044547,-1.2096740048288308
Word Stem Completion (Covert),,2,0.025,-0.6174011614032296,-1.2344059407969592
Pursuit Rotor/Manual Tracking,,10,0.04032258064516129,-0.3829050990374672,-1.2474243520524508
Driving,,8,0.03669724770642202,-0.4383870259129976,-1.362043129779668
Flanker,,11,0.03900709219858156,-0.4030372731114221,-1.4087020130636643
Micturition,,8,0.034334763948497854,-0.4745423675924184,-1.5419043168364779
Emotional Body Language Perception,,4,0.027210884353741496,-0.5835658899626989,-1.562547567304738
Induced Panic,,0,0,-1,-1.586438368622946
Vibrotactile Monitor/Discrimination,,6,0.030927835051546393,-0.5266818491586346,-1.588617474143487
Figurative Language,,7,0.03225806451612903,-0.5063240792299738,-1.6042664414429746
Affective Words,,6,0.030303030303030304,-0.5362438320039147,-1.639338008949402
Word Generation (Overt),,54,0.04891304347826087,-0.2514370549193623,-1.6642446521679284
Word Stem Completion (Overt),,3,0.023076923076923078,-0.6468318412952889,-1.6665230097728418
Music Comprehension,,63,0.04929577464788732,-0.24557975487960781,-1.7460870050466768
Object Manipulation/Discrimination,,5,0.026737967914438502,-0.5908033811799248,-1.7887970250604668
Naming (Overt),,39,0.04540162980209546,-0.30517556669271045,-1.8086930730613253
Naming (Covert),,27,0.04186046511627907,-0.3593693865356404,-1.8748545822910307
Magnitude Comparison (Luminance),,0,0,-1,-1.888239344302508
Reading (Covert),,87,0.05025996533795494,-0.23082382535138024,-1.9023807028254338
Reading (Overt),,106,0.05115830115830116,-0.2170757356900066,-1.9501560812779208
Fixation,,8,0.02962962962962963,-0.5465495246260499,-1.957987841937622
Film Viewing,,136,0.052087322864802756,-0.20285803065245858,-2.0380493812133045
Stroop-Other,,9,0.029900332225913623,-0.5424067046683145,-2.04876572755425
Transcranial Magnetic Stimulation,,9,0.029900332225913623,-0.5424067046683145,-2.04876572755425
Chewing/Swallowing,,25,0.03894080996884735,-0.4040516532760587,-2.1315153533222886
Sequence Recall/Learning,,28,0.03943661971830986,-0.3964638039036862,-2.1943794115677155
Motor Learning,,1,0.00909090909090909,-0.8608731496011743,-2.228594701362259
Recitation/Repetition (Covert),,4,0.01951219512195122,-0.7013862723147157,-2.3170288215317045
Pointing,,8,0.025157232704402517,-0.6149948793994764,-2.4493532679686196
Grasping,,14,0.030434782608695653,-0.5342275008387143,-2.4876077224457873
Isometric Force,,11,0.027707808564231738,-0.5759609849305316,-2.527616658043024
Drawing,,10,0.026525198938992044,-0.5940595876957344,-2.556823648335269
Visual Object Identification,,75,0.04469606674612634,-0.31597347092353334,-2.6254539296864774
Hypercapnia/Air Hunger,,7,0.021806853582554516,-0.6662689258345929,-2.717212621409408
Go/No-Go,,141,0.0484869325997249,-0.25795823600901485,-2.7760517960659907
Mental Rotation,,38,0.03732809430255403,-0.42873257891248434,-2.869814027604493
Counting/Calculation,,100,0.04547521600727603,-0.3040494068271572,-2.882280372830057
Saccades,,53,0.04021244309559939,-0.38459063897939827,-2.8898424199027035
Flashing Checkerboard,,0,0,-1,-2.920464085493007
Tactile Monitor/Discrimination,,38,0.03598484848484849,-0.4492895505046487,-3.0828759178065233
Tone Monitor/Discrimination,,54,0.03865425912670007,-0.4084370140522377,-3.1826644464695684
Phonological Discrimination,,52,0.03581267217630854,-0.4519245287318992,-3.639231478703309
Pitch Monitor/Discrimination,,39,0.032418952618453865,-0.5038618551862329,-3.755852848232425
Delayed Match to Sample,,123,0.042413793103448276,-0.35090128072547927,-3.8720939383100954
Imagined Movement,,28,0.027722772277227723,-0.5757319809619973,-4.02966609867859
Music Production,,10,0.01557632398753894,-0.7616206613104234,-4.561808403233651
Finger Tapping/Button Press,,390,0.04777655273796398,-0.26882985641190527,-4.861693883410286
Pain Monitor/Discrimination,,130,0.03835939805252287,-0.4129495542333414,-5.018833408066215
Visual Pursuit/Tracking,,18,0.01888772298006296,-0.7109431649636153,-5.082887309073583
Flexion/Extension,,43,0.02505827505827506,-0.6165093226186218,-5.706938902413951
Recitation/Repetition (Overt),,10,0.010660980810234541,-0.8368448449480724,-6.257844565001085
