Behavioral Analysis Plugin v3.1

Category,Domain,Raw Counts,Fractional,Standardized,Z-score
Execution (Speech),Action,43,0.015855457227138645,-0.6216832451816575,-5.746232655660929
Execution (Unspecified),Action,112,0.0121765601217656,-0.7094630167944938,-12.483544508617511
Imagination,Action,42,0.02939118264520644,-0.29871610264409204,-1.805836513894304
Inhibition,Action,90,0.031228313671061762,-0.25488151383841146,-2.1612258172619647
Motor Learning,Action,10,0.018832391713747645,-0.5506525471609756,-2.196249070819878
Observation,Action,29,0.020336605890603085,-0.514761470808686,-3.323797987075763
Preparation,Action,20,0.03717472118959108,-0.11299815071553149,-0.3985941511539399
Rest,Action,4,0.028169014084507043,-0.3278774719506422,-0.6301326437927297
Attention,Cognition,436,0.027668485848457925,-0.33982025072039856,-6.904003411955268
Language (Orthography),Cognition,47,0.027262180974477957,-0.34951482711696436,-2.355496402699751
Language (Phonology),Cognition,33,0.018374164810690423,-0.5615860013308337,-4.134911622734827
Language (Semantics),Cognition,265,0.03429532807040248,-0.18170147759488378,-2.472945421191231
Language (Speech),Cognition,138,0.02118513969910961,-0.49451515736662516,-6.778792970226981
Language (Syntax),Cognition,17,0.027960526315789474,-0.33285206302995485,-1.3256014668670313
Language (Unspecified),Cognition,24,0.034532374100719423,-0.17604547640567939,-0.7174881459229845
Memory (Expliicit),Cognition,299,0.048280316486355564,0.1519852372000498,1.7083036500025501
Memory (Implicit),Cognition,3,0.018292682926829267,-0.5635301875777037,-1.254668551666509
Memory (Working),Cognition,145,0.022107028510443664,-0.4725185679014988,-6.4530321836293885
Memory (Unspecified),Cognition,27,0.03744798890429958,-0.10647788746836422,-0.4340839062224555
Music,Cognition,68,0.022795843110962118,-0.45608321062314794,-4.178269280658283
Reasoning,Cognition,255,0.03262955854126679,-0.22144732115587834,-3.063664976390867
Social Cognition,Cognition,276,0.08020924149956409,0.9138205550211009,6.655916453134479
Somatic,Cognition,16,0.033264033264033266,-0.20630853236583108,-0.7051946380393496
Spatial,Cognition,29,0.017099056603773585,-0.5920105291115484,-4.281321228573703
Temporal,Cognition,12,0.028639618138424822,-0.31664869463239514,-1.0419294428124655
Intensity,Emotion,6,0.029556650246305417,-0.2947679878102798,-0.6708729182305625
Negative (Anger),Emotion,31,0.04275862068965517,0.020235644301128588,0.08019377954718718
Negative (Anxiety),Emotion,30,0.0375,-0.10523688453429246,-0.4517753565142128
Negative (Disgust),Emotion,25,0.023540489642184557,-0.4383156839512194,-2.382423046791552
Negative (Embarrassment),Emotion,19,0.07983193277310924,0.9048178368457639,1.7356379013465968
Negative (Fear),Emotion,38,0.024437299035369776,-0.41691749817454427,-2.7237569266209976
Negative (Guilt),Emotion,22,0.12290502793296089,1.9325569519918906,2.817211824641171
Negative (Punishment/Loss),Emotion,8,0.06557377049180328,0.5646130980821117,0.8206828510415988
Negative (Saddness),Emotion,56,0.04631927212572374,0.10519403288843945,0.527888214977977
Negative (Unspecified),Emotion,119,0.04111955770559779,-0.018872971753796784,-0.15083536992830776
Positive (Humor),Emotion,9,0.06428571428571428,0.5338796265126414,0.835920003611713
Positive (Happiness),Emotion,63,0.04542177361211247,0.08377940445738186,0.4525040711016629
Positive (Reward/Gain),Emotion,216,0.035797149486244614,-0.14586749335722976,-1.7378488671954186
Positive (Unspecified),Emotion,76,0.05166553365057784,0.23275770270371682,1.2530612982997782
Valence,Emotion,53,0.05948372615039282,0.41930251012891884,1.6921117832387718
Baroregulation,Interoception,1,0.008403361344537815,-0.7994928592793933,-1.6599674256719996
Gastrointestinal/Genitourinary,Interoception,7,0.02147239263803681,-0.48766120177832695,-1.4920981612218107
Heartbeat Detection,Interoception,0,0.0,-1.0,-1.811295034136754
Hunger,Interoception,7,0.03255813953488372,-0.22315140362667252,-0.5123036377053081
Osmoregulation,Interoception,11,0.048034934497816595,0.14613033713220186,0.31625048940382444
Respiration Regulation,Interoception,6,0.011976047904191617,-0.7142473084341053,-2.938628580068627
Sexuality,Interoception,67,0.030017921146953404,-0.28376190279328073,-2.1347597414386725
Sleep,Interoception,8,0.03225806451612903,-0.23031129852412255,-0.5689862835433053
Thermoregulation,Interoception,12,0.020905923344947737,-0.5011773572316612,-2.0438649878507125
Thirst,Interoception,12,0.04878048780487805,0.16391949979279039,0.3662480369917379
Vestibular,Interoception,5,0.025510204081632654,-0.39131760852672953,-0.9004900782773405
Audition,Perception,91,0.024234354194407455,-0.4217598330590013,-4.288242413434174
Gustation,Perception,22,0.020793950850661626,-0.5038490601072321,-2.7921117515610527
Olfaction,Perception,22,0.02689486552567237,-0.3582791021924836,-1.6675575031019934
Somesthesis (Pain),Perception,53,0.014437482974666304,-0.6555166067761191,-7.137845978390351
Somesthesis (Unspecified),Perception,59,0.02299298519095869,-0.4513793316448247,-3.829502730489606
Vision (Color),Perception,10,0.013568521031207599,-0.6762503426627924,-3.3253051872745245
Vision (Motion),Perception,32,0.011315417256011316,-0.7300101867524503,-7.180552810347433
Vision (Shape),Perception,77,0.02407754846779237,-0.425501272538174,-3.997217073961662
Vision (Unspecified),Perception,150,0.029498525073746312,-0.2961548747565722,-3.374806570143427
